#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-AC810,2455499.67436,-1.756,0.068,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-AC812,2455499.67436,-1.755,0.100,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S455,2455499.67436,-0.606,0.050,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S432,2455499.67436,-2.100,0.021,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S195,2455499.67436,-0.494,0.110,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S499,2455499.67436,1.094,0.093,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2195,2455499.67436,-1.325,0.039,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S447,2455499.67436,0.998,0.208,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1599,2455499.67436,-0.004,0.033,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S211,2455499.67436,-2.287,0.039,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S188,2455499.67436,-0.919,0.076,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S154,2455499.67436,-1.480,0.231,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S726,2455499.67436,-1.538,0.011,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1977,2455499.67436,0.019,0.061,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1976,2455499.67436,0.044,0.018,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1975,2455499.67436,1.622,0.047,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S180,2455499.67436,-0.918,0.076,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S396,2455499.67436,0.030,0.057,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1526,2455499.67436,1.001,0.018,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2189,2455499.67436,1.619,0.066,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S261,2455499.67436,-1.090,0.138,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2186,2455499.67436,-0.139,0.043,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1338,2455499.67436,-0.682,0.110,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S507,2455499.67436,-0.285,0.053,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1334,2455499.67436,-1.383,0.051,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S393,2455499.67436,0.711,0.042,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1332,2455499.67436,-1.259,0.085,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S686,2455499.67436,1.302,0.022,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1827,2455499.67436,0.459,0.044,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S202,2455499.67436,-0.886,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S467,2455499.67436,0.805,0.108,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S705,2455499.67436,-1.091,0.008,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S675,2455499.67436,-0.728,0.005,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S708,2455499.67436,1.377,0.042,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S459,2455499.67436,-0.411,0.130,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1337,2455499.67436,-0.951,0.141,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2070,2455499.67436,0.171,0.020,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1335,2455499.67436,-0.884,0.145,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S223,2455499.67436,-0.777,0.136,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1333,2455499.67436,-1.325,0.039,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S700,2455499.67436,-1.149,0.005,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-AC488,2455499.67436,-3.818,0.082,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-AC484,2455499.67436,-3.827,0.084,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S452,2455499.67436,0.219,0.050,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1616,2455499.67436,1.278,0.035,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S215,2455499.67436,-1.484,0.105,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S490,2455499.67436,0.760,0.077,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S248,2455499.67436,-1.049,0.081,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1566,2455499.67436,0.682,0.020,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1564,2455499.67436,0.027,0.009,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S698,2455499.67436,-0.057,0.012,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S441,2455499.67436,-0.694,0.078,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S766,2455499.67436,-2.076,0.019,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S181,2455499.67436,-2.049,0.021,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S159,2455499.67436,-1.818,0.100,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2198,2455499.67436,0.527,0.033,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S174,2455499.67436,-1.079,0.053,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S504,2455499.67436,0.139,0.082,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S198,2455499.67436,-0.885,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S464,2455499.67436,-0.298,0.033,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1342,2455499.67436,-2.463,0.044,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-AC492,2455499.67436,-2.829,0.159,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S163,2455499.67436,-2.456,0.087,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S394,2455499.67436,0.397,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
