#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S1733,2455498.60009,0.418,0.022,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1351,2455498.60009,-1.642,0.150,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1350,2455498.60009,-1.688,0.036,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S217,2455498.60009,-1.390,0.062,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2025,2455498.60009,0.206,0.030,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S153,2455498.60009,-2.212,0.050,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-AC307,2455498.60009,-2.784,0.133,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1585,2455498.60009,1.003,0.039,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S400,2455498.60009,0.289,0.039,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1580,2455498.60009,1.204,0.034,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S377,2455498.60009,0.626,0.056,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S183,2455498.60009,-0.926,0.150,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S192,2455498.60009,-0.826,0.078,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1962,2455498.60009,-0.127,0.076,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1961,2455498.60009,0.623,0.208,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2215,2455498.60009,-0.254,0.029,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S722,2455498.60009,-0.544,0.008,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S506,2455498.60009,-1.442,0.052,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2210,2455498.60009,1.446,0.068,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S689,2455498.60009,1.252,0.020,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S714,2455498.60009,-0.242,0.013,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1486,2455498.60009,1.631,0.030,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S466,2455498.60009,-1.169,0.033,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S681,2455498.60009,0.088,0.008,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2067,2455498.60009,-0.283,0.015,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2066,2455498.60009,0.110,0.017,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2065,2455498.60009,0.909,0.025,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1782,2455498.60009,-0.751,0.009,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S458,2455498.60009,-0.703,0.075,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S222,2455498.60009,-1.389,0.062,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1702,2455498.60009,-1.739,0.012,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-AC810,2455498.60009,-1.652,0.056,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-AC812,2455498.60009,-1.734,0.114,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S455,2455498.60009,-0.344,0.067,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S432,2455498.60009,-2.100,0.021,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S195,2455498.60009,-0.135,0.144,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S499,2455498.60009,1.038,0.081,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2195,2455498.60009,-1.282,0.043,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S447,2455498.60009,1.115,0.213,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1599,2455498.60009,0.145,0.029,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S211,2455498.60009,-2.200,0.042,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S188,2455498.60009,-0.717,0.079,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S154,2455498.60009,-1.236,0.274,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S726,2455498.60009,-1.539,0.011,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1977,2455498.60009,0.214,0.078,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1976,2455498.60009,0.067,0.017,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1975,2455498.60009,1.549,0.043,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S180,2455498.60009,-0.715,0.080,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S396,2455498.60009,0.166,0.056,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1526,2455498.60009,1.037,0.016,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2189,2455498.60009,1.595,0.065,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S261,2455498.60009,-0.895,0.166,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2186,2455498.60009,-0.195,0.032,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1338,2455498.60009,-0.610,0.111,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S507,2455498.60009,-0.171,0.070,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1334,2455498.60009,-1.274,0.065,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S393,2455498.60009,0.773,0.041,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1332,2455498.60009,-1.220,0.072,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S686,2455498.60009,1.340,0.022,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1827,2455498.60009,0.433,0.043,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S202,2455498.60009,-0.864,0.043,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S467,2455498.60009,0.820,0.105,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S705,2455498.60009,-1.078,0.007,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S675,2455498.60009,-0.724,0.005,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S708,2455498.60009,1.537,0.050,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S459,2455498.60009,-0.109,0.123,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1337,2455498.60009,-1.014,0.119,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2070,2455498.60009,0.209,0.022,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1335,2455498.60009,-0.974,0.137,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S223,2455498.60009,-0.680,0.152,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1333,2455498.60009,-1.282,0.043,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S700,2455498.60009,-1.147,0.005,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
